Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	24/157	9.855301e-22	1.179680e-18	0	0	2.016439e+01	9.753285e+02	GPSM2;STIL;PLK1;CDCA8;KIF23;TTK;CENPA;SKA1;NDC80;AURKB;AURKA;CDC20;TPX2;KIFC1;CHEK2;KIF4A;STMN1;NUF2;BIRC5;KIF2C;CENPN;CENPO;BUB1;DLGAP5
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	20/128	1.779355e-18	1.064944e-15	0	0	2.025926e+01	8.280016e+02	GPSM2;STIL;PLK1;CDCA8;TTK;CENPA;SKA1;NDC80;AURKB;AURKA;CDC20;KIF4A;STMN1;NUF2;BIRC5;KIF2C;CENPN;CENPO;BUB1;DLGAP5
GO_Biological_Process_2021	mitotic sister chromatid segregation (GO:0000070)	14/102	1.739086e-12	6.938951e-10	0	0	1.686022e+01	4.565352e+02	CDCA5;PLK1;KIF14;CDCA8;NCAPG;KIF23;NCAPH;NDC80;KIF18B;KIFC1;KIF2C;NCAPD2;CEP55;DLGAP5
GO_Biological_Process_2021	DNA replication (GO:0006260)	12/108	8.652932e-10	2.589390e-07	0	0	1.310106e+01	2.733924e+02	PIF1;BLM;RFC4;DBF4;CDC45;MCM7;EXO1;CHEK1;DONSON;CDK2AP1;MCM10;MCM6
GO_Biological_Process_2021	kinetochore organization (GO:0051383)	6/13	1.501423e-09	3.524975e-07	0	0	8.745066e+01	1.776722e+03	CDT1;CENPW;NUF2;CENPA;NDC80;DLGAP5
GO_Biological_Process_2021	mitotic metaphase plate congression (GO:0007080)	9/51	1.766905e-09	3.524975e-07	0	0	2.216679e+01	4.467503e+02	CDT1;KIFC1;CDCA5;NUF2;KIF14;CDCA8;KIF2C;CEP55;NDC80
GO_Biological_Process_2021	DNA-dependent DNA replication (GO:0006261)	12/129	6.760348e-09	1.156020e-06	0	0	1.073813e+01	2.020078e+02	CDT1;PRIM2;BLM;RFC4;DBF4;CDC45;RAD51;MCM7;HMGA1;CDK2AP1;MCM10;MCM6
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	16/277	2.060159e-08	3.082514e-06	0	0	6.509745e+00	1.152088e+02	CDT1;PRIM2;BLM;RFC4;MCM7;FANCA;MCM10;RAD51AP1;RNASEH1;RAD51;DBF4;CDC45;EXO1;CHEK1;RAD54L;MCM6
GO_Biological_Process_2021	mitotic cytokinesis (GO:0000281)	8/49	2.758443e-08	3.668730e-06	0	0	2.008028e+01	3.495177e+02	ANLN;KIF4A;STMN1;PLK1;KIF23;KIF20A;CENPA;CEP55
GO_Biological_Process_2021	cytoskeleton-dependent cytokinesis (GO:0061640)	9/72	4.125292e-08	4.937974e-06	0	0	1.476215e+01	2.510089e+02	ANLN;KIF4A;STMN1;PLK1;KIF23;KIF20A;CENPA;CEP55;AURKB
GO_Biological_Process_2021	DNA replication initiation (GO:0006270)	7/38	8.736212e-08	8.714371e-06	0	0	2.312937e+01	3.759263e+02	PRIM2;CDT1;CDC45;DBF4;MCM7;MCM10;MCM6
GO_Biological_Process_2021	histone exchange (GO:0043486)	7/38	8.736212e-08	8.714371e-06	0	0	2.312937e+01	3.759263e+02	CENPW;HJURP;RNF8;ANP32E;CENPN;CENPO;CENPA
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	13/209	1.941894e-07	1.788036e-05	0	0	6.953290e+00	1.074592e+02	UBE2C;TUBB;PLK1;FOXM1;CDC25A;AURKA;CCNA2;CCNB2;MELK;DBF4;CCNE1;CHEK2;E2F3
GO_Biological_Process_2021	DNA unwinding involved in DNA replication (GO:0006268)	5/16	3.798646e-07	3.247842e-05	0	0	4.612821e+01	6.819341e+02	BLM;RAD51;MCM7;HMGA1;MCM6
GO_Biological_Process_2021	mitotic nuclear division (GO:0140014)	8/74	7.446198e-07	5.942066e-05	0	0	1.245833e+01	1.757920e+02	TPX2;KIF18B;KIFC1;UBE2C;CHEK2;PLK1;CDCA8;NDC80
GO_Biological_Process_2021	centromere complex assembly (GO:0034508)	6/37	1.665654e-06	1.070443e-04	0	0	1.972298e+01	2.624200e+02	CENPW;HJURP;CENPN;CENPO;CENPA;DLGAP5
GO_Biological_Process_2021	spindle assembly checkpoint signaling (GO:0071173)	5/21	1.699116e-06	1.070443e-04	0	0	3.170513e+01	4.212154e+02	CDC20;PLK1;TTK;TRIP13;BUB1
GO_Biological_Process_2021	mitotic spindle assembly checkpoint signaling (GO:0007094)	5/21	1.699116e-06	1.070443e-04	0	0	3.170513e+01	4.212154e+02	CDC20;PLK1;TTK;TRIP13;BUB1
GO_Biological_Process_2021	mitotic spindle checkpoint signaling (GO:0071174)	5/21	1.699116e-06	1.070443e-04	0	0	3.170513e+01	4.212154e+02	CDC20;PLK1;TTK;TRIP13;BUB1
