Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Cell cycle	17/124	6.807337e-15	8.645318e-13	0	0	1.709724e+01	5.577251e+02	MCM7;PLK1;TTK;CDC25A;CDC20;CCNA2;CCNB2;DBF4;CDC45;PTTG1;CCNE1;CHEK2;CHEK1;E2F2;E2F3;MCM6;BUB1
KEGG_2021_Human	Cellular senescence	10/156	3.946812e-06	2.506226e-04	0	0	7.085076e+00	8.815678e+01	CCNA2;CCNB2;CCNE1;CHEK2;CHEK1;E2F2;MYBL2;E2F3;FOXM1;CDC25A
KEGG_2021_Human	DNA replication	5/36	2.786810e-05	1.179749e-03	0	0	1.635153e+01	1.714953e+02	PRIM2;RNASEH1;RFC4;MCM7;MCM6
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	10/219	7.428691e-05	2.358609e-03	0	0	4.933518e+00	4.690580e+01	CDC20;CCNA2;RANBP1;CCNB2;PTTG1;CCNE1;CHEK2;CHEK1;E2F2;E2F3
KEGG_2021_Human	Fanconi anemia pathway	5/54	2.020829e-04	5.132905e-03	0	0	1.033543e+01	8.792174e+01	BLM;RAD51;FANCA;FANCB;FANCE
KEGG_2021_Human	Oocyte meiosis	7/129	3.216748e-04	6.808784e-03	0	0	5.850081e+00	4.704617e+01	CDC20;CCNB2;PTTG1;CCNE1;PLK1;BUB1;AURKA
KEGG_2021_Human	Progesterone-mediated oocyte maturation	6/100	5.070298e-04	9.198970e-03	0	0	6.483659e+00	4.919113e+01	CCNA2;CCNB2;PLK1;BUB1;CDC25A;AURKA
KEGG_2021_Human	p53 signaling pathway	5/73	8.234685e-04	1.307256e-02	0	0	7.440422e+00	5.284177e+01	CCNB2;CCNE1;CHEK2;CHEK1;GTSE1
KEGG_2021_Human	Cysteine and methionine metabolism	4/50	1.559881e-03	2.201165e-02	0	0	8.763975e+00	5.664285e+01	LDHB;PSAT1;AMD1;PHGDH
KEGG_2021_Human	Homologous recombination	3/41	7.942344e-03	1.008678e-01	0	0	7.919583e+00	3.829552e+01	BLM;RAD51;RAD54L
KEGG_2021_Human	MicroRNAs in cancer	8/310	1.301177e-02	1.448919e-01	0	0	2.690121e+00	1.168024e+01	CCNE1;CDCA5;STMN1;E2F2;E2F3;KIF23;CDC25A;EZH2
KEGG_2021_Human	Small cell lung cancer	4/92	1.369058e-02	1.448919e-01	0	0	4.571429e+00	1.961622e+01	CCNE1;E2F2;E2F3;CKS1B
KEGG_2021_Human	Mismatch repair	2/23	2.193049e-02	1.996859e-01	0	0	9.513709e+00	3.634120e+01	RFC4;EXO1
KEGG_2021_Human	Ribosome biogenesis in eukaryotes	4/108	2.323964e-02	1.996859e-01	0	0	3.864992e+00	1.453970e+01	POP1;DKC1;RIOK1;GTPBP4
KEGG_2021_Human	Hepatitis B	5/162	2.358495e-02	1.996859e-01	0	0	3.208068e+00	1.202110e+01	CCNA2;CCNE1;BIRC5;E2F2;E2F3
KEGG_2021_Human	Pancreatic cancer	3/76	4.068389e-02	3.229284e-01	0	0	4.115221e+00	1.317662e+01	RAD51;E2F2;E2F3
KEGG_2021_Human	Viral carcinogenesis	5/203	5.355019e-02	3.826482e-01	0	0	2.538462e+00	7.430422e+00	CDC20;CCNA2;RANBP1;CCNE1;CHEK1
KEGG_2021_Human	Vitamin B6 metabolism	1/6	5.852673e-02	3.826482e-01	0	0	1.989447e+01	5.646592e+01	PSAT1
KEGG_2021_Human	Glycine, serine and threonine metabolism	2/40	6.057350e-02	3.826482e-01	0	0	5.253057e+00	1.472903e+01	PSAT1;PHGDH
KEGG_2021_Human	Gastric cancer	4/149	6.274734e-02	3.826482e-01	0	0	2.766362e+00	7.659057e+00	CCNE1;FZD9;E2F2;E2F3
KEGG_2021_Human	Bladder cancer	2/41	6.327254e-02	3.826482e-01	0	0	5.118104e+00	1.412752e+01	E2F2;E2F3
KEGG_2021_Human	Cushing syndrome	4/155	7.036730e-02	4.057960e-01	0	0	2.655629e+00	7.048110e+00	CCNE1;FZD9;E2F2;E2F3
KEGG_2021_Human	Prostate cancer	3/97	7.349061e-02	4.057960e-01	0	0	3.192461e+00	8.334232e+00	CCNE1;E2F2;E2F3
