Gene,log2FC,pval,-log10(pval),FDR,Status
MLPH,-4.56366538798526,1.0880901990824706e-84,83.9633351015679,2.2325434704774134e-80,Upregulated in BRCA_LumA
GATA3,-3.6098946489750783,2.636694315526425e-84,83.57894021710659,2.7049846982985596e-80,Upregulated in BRCA_LumA
AGR3,-7.860708859724574,8.182189899669728e-84,83.08713044522122,5.596072412047449e-80,Upregulated in BRCA_LumA
FOXA1,-4.522430164872425,2.274813799340248e-83,82.64305414592052,1.1668657383715802e-79,Upregulated in BRCA_LumA
THSD4,-3.9424967982395587,3.513955096749628e-83,82.45420379245896,1.4419866135021772e-79,Upregulated in BRCA_LumA
DRAIC,-5.7560596983685475,5.4736366445806916e-83,82.26172403566012,1.871801277891777e-79,Upregulated in BRCA_LumA
CA12,-4.621693109462338,7.396607319617785e-83,82.13096743705718,2.1680512711988245e-79,Upregulated in BRCA_LumA
ESR1,-5.387178902344821,8.907207412665791e-83,82.05025843461284,2.284476021163459e-79,Upregulated in BRCA_LumA
CT62,-5.26079941180409,1.2464781261908248e-82,81.90431533830579,2.841693132575927e-79,Upregulated in BRCA_LumA
TBC1D9,-3.811313054785161,1.668469875223268e-82,81.77768163026926,2.852805408319251e-79,Upregulated in BRCA_LumA
XBP1,-3.0814194109668773,1.6248388688314353e-82,81.78918970043713,2.852805408319251e-79,Upregulated in BRCA_LumA
C6orf97,-4.203748364285303,1.5409612157830014e-82,81.81220829183538,2.852805408319251e-79,Upregulated in BRCA_LumA
C1orf64,-7.961481787191043,3.891752651702071e-82,81.40985477000044,6.142383146740239e-79,Upregulated in BRCA_LumA
TTC36,-6.526621353621093,1.3997095045471102e-81,80.85396208836674,2.0513742581641147e-78,Upregulated in BRCA_LumA
ERBB4,-5.316639205494066,3.0424135516831396e-81,80.51678175313417,4.0406969998890738e-78,Upregulated in BRCA_LumA
ZNF552,-2.9621565327378954,3.1509480455319806e-81,80.50155875763996,4.0406969998890738e-78,Upregulated in BRCA_LumA
FOXC1,3.959393532717228,3.6569815533656125e-81,80.43687723033511,4.413761618350332e-78,Upregulated in BRCA_Basal
PRR15,-4.112781911114643,6.237339063681819e-81,80.20500064692473,7.109873494923531e-78,Upregulated in BRCA_LumA
AGR2,-5.503582398662823,7.237032314930187e-81,80.14043948814988,7.815233107249346e-78,Upregulated in BRCA_LumA
NAT1,-5.972918108658686,7.898150580483966e-81,80.1024745905729,8.1027126805185e-78,Upregulated in BRCA_LumA
GPR77,-3.7785337329945836,8.619483239230655e-81,80.06451877049524,8.421645576311171e-78,Upregulated in BRCA_LumA
FSIP1,-6.001672099269295,1.1600136996450674e-80,79.93553688176867,1.0818709586053405e-77,Upregulated in BRCA_LumA
ANXA9,-3.9384892882502562,1.6162002415722613e-80,79.79150483265649,1.4417911546338983e-77,Upregulated in BRCA_LumA
CDC20,2.5626865722558096,2.1739764774961282e-80,79.66274515930625,1.8585687235527316e-77,Upregulated in BRCA_Basal
CENPA,2.583081755226406,3.2174418417279293e-80,79.49248929463178,2.5836581099729882e-77,Upregulated in BRCA_Basal
DNALI1,-4.2135986915532575,3.2739599794959398e-80,79.48492663365661,2.5836581099729882e-77,Upregulated in BRCA_LumA
SLC7A8,-3.0521093094719474,4.14127196047212e-80,79.38286624811292,3.14705992907285e-77,Upregulated in BRCA_LumA
SCUBE2,-5.999692874289339,6.452587957984514e-80,79.19026606669003,4.72836427578308e-77,Upregulated in BRCA_LumA
TFF3,-6.000659064984902,1.115130878630005e-79,78.95267415814843,7.889743230251877e-77,Upregulated in BRCA_LumA
KIF2C,2.2784889101552226,1.154513136876331e-79,78.93760112100541,7.89610018080952e-77,Upregulated in BRCA_Basal
CDCA8,2.1951617352591235,1.9934605317690114e-79,78.70039235844885,1.3194136513173089e-76,Upregulated in BRCA_Basal
TFF1,-8.427001901839603,2.3500444765216016e-79,78.62892391827077,1.4866825874753416e-76,Upregulated in BRCA_LumA
SLC44A4,-4.285598054734277,2.3910968606436436e-79,78.62140283074704,1.4866825874753416e-76,Upregulated in BRCA_LumA
DEGS2,-4.316607746177164,2.943214396983622e-79,78.53117810078332,1.7761433234502926e-76,Upregulated in BRCA_LumA
PSAT1,4.456055796806954,3.046872430183787e-79,78.51614572891715,1.786163672071741e-76,Upregulated in BRCA_Basal
TCEAL1,-2.2873867596276276,3.181578869321719e-79,78.49735730640964,1.8133232011317506e-76,Upregulated in BRCA_LumA
NOSTRIN,-3.4071935777426567,3.380202143085472e-79,78.4710573272367,1.8744591235629112e-76,Upregulated in BRCA_LumA
ABAT,-3.8013692470542195,5.414454115930624e-79,78.26644532230543,2.9235202513332775e-76,Upregulated in BRCA_LumA
CCDC125,-1.7929478667973224,6.297941111846215e-79,78.2008014044997,3.313362967509247e-76,Upregulated in BRCA_LumA
B3GNT5,2.908651668466775,9.696153314977734e-79,78.01340052608596,4.9736418429178284e-76,Upregulated in BRCA_Basal
IFRD1,1.8559423165850748,1.0211095317145867e-78,77.99092766979571,5.110030578468266e-76,Upregulated in BRCA_Basal
CENPN,1.774132666120246,1.3454649128542137e-78,77.87112762332013,6.572916448081608e-76,Upregulated in BRCA_Basal
FAM47E,-2.9771108654263645,1.6402923118960728e-78,77.78507875065283,7.826864571042702e-76,Upregulated in BRCA_LumA
KDM4B,-2.0308553557092495,2.1054707636393728e-78,77.67665078477245,9.818192983716511e-76,Upregulated in BRCA_LumA
ZMYND10,-3.8640176893328873,2.9958059197875147e-78,77.52348632538363,1.3659543524933385e-75,Upregulated in BRCA_LumA
INPP5J,-3.300785623798463,4.643253346700935e-78,77.33317761957042,2.0270270673959526e-75,Upregulated in BRCA_LumA
RARA,-1.9446759284215176,4.603552563867228e-78,77.33690689366225,2.0270270673959526e-75,Upregulated in BRCA_LumA
RABEP1,-1.906124217152658,4.973399033062314e-78,77.30334669441653,2.1259208616744283e-75,Upregulated in BRCA_LumA
CDCA7,3.3072688900876734,5.236277898615981e-78,77.28097731272618,2.192611222934749e-75,Upregulated in BRCA_Basal
ARSG,-2.8257882871946314,5.705552800869573e-78,77.24370227118679,2.341330647364838e-75,Upregulated in BRCA_LumA
SLC22A5,-1.8321769507411079,7.254701666117129e-78,77.13938044227837,2.918666054615515e-75,Upregulated in BRCA_LumA
ABCC8,-5.426011202895381,8.110180193308526e-78,77.0909694964559,3.2000899462750836e-75,Upregulated in BRCA_LumA
CCNE1,3.318880079701465,8.760659237571949e-78,77.0574632120434,3.3915321931415327e-75,Upregulated in BRCA_Basal
BCL11A,3.641096556676919,1.0669168096435921e-77,76.97186944235739,4.053888722271708e-75,Upregulated in BRCA_Basal
YBX1,1.6048935202687256,1.1524197742995636e-77,76.93838929829556,4.299154350741536e-75,Upregulated in BRCA_Basal
SIDT1,-3.1594331139832827,1.2662541847753117e-77,76.89747910635283,4.639464886289258e-75,Upregulated in BRCA_LumA
CENPW,2.8068104473331035,1.3560223960575062e-77,76.86773313760474,4.881204828475072e-75,Upregulated in BRCA_Basal
KIAA1370,-2.2874542953603596,1.5818818865787243e-77,76.80082594683208,5.596043542900391e-75,Upregulated in BRCA_LumA
C6orf211,-2.607721591479903,2.927579789513415e-77,76.53349125964648,1.0181030868006144e-74,Upregulated in BRCA_LumA
CEP55,2.112238912185161,3.0035680416234026e-77,76.52236252527253,1.0271201513004828e-74,Upregulated in BRCA_Basal
TTK,2.3207690308215185,3.502617608853928e-77,76.4556072733102,1.1781427557125393e-74,Upregulated in BRCA_Basal
PGR,-6.726281330974734,4.681723336496558e-77,76.32959425424106,1.54934837771349e-74,Upregulated in BRCA_LumA
AFF3,-4.234676012088089,5.012341120466598e-77,76.29995938027665,1.6324319858687883e-74,Upregulated in BRCA_LumA
FZD9,5.15429231219271,5.818977194145553e-77,76.23515334489908,1.865527719835601e-74,Upregulated in BRCA_Basal
C14orf45,-1.9741675797334257,6.098296352422621e-77,76.21479147451073,1.9249976086001128e-74,Upregulated in BRCA_LumA
MCCC2,-2.074796981127607,6.812800452351153e-77,76.16667433140582,2.104197860756123e-74,Upregulated in BRCA_LumA
BCAS1,-4.8734363108589696,6.87110130961401e-77,76.16297364804154,2.104197860756123e-74,Upregulated in BRCA_LumA
CLSTN2,-4.102186974714359,7.355776947030367e-77,76.13337144856699,2.2194975205760157e-74,Upregulated in BRCA_LumA
FAM64A,2.424137078335261,7.546192482551338e-77,76.12227212133966,2.2439532950288167e-74,Upregulated in BRCA_Basal
ACADSB,-2.682378987239663,7.874535443890934e-77,76.10377505786926,2.308138831967917e-74,Upregulated in BRCA_LumA
MPP6,2.549520142059387,8.147436028583183e-77,76.08897904080972,2.354494259640419e-74,Upregulated in BRCA_Basal
KCNJ11,-3.068442086846941,8.871655078262632e-77,76.05199535149812,2.528175262441565e-74,Upregulated in BRCA_LumA
PLK1,2.1049895574804123,1.0518281716883447e-76,75.9780552014205,2.9563575926988295e-74,Upregulated in BRCA_Basal
MAPT,-4.372179378407248,2.567644925266826e-76,75.59046503420882,7.119316023868207e-74,Upregulated in BRCA_LumA
TSPAN1,-4.37663414806849,2.842937230152155e-76,75.54623272908884,7.77751814510159e-74,Upregulated in BRCA_LumA
C4orf34,-1.9346593291450263,3.228786088670539e-76,75.490960726611,8.716872758860804e-74,Upregulated in BRCA_LumA
MTHFD1L,2.125939558759553,3.858209176295703e-76,75.41361423038619,1.028087478951107e-73,Upregulated in BRCA_Basal
CTPS,1.6573934968749644,5.2791687503107507e-76,75.2774344554157,1.3886921079343074e-73,Upregulated in BRCA_Basal
LRRC46,-3.1748065195977726,7.993196757988194e-76,75.09727949644376,2.0760052035493893e-73,Upregulated in BRCA_LumA
ZNF695,2.8355974188834883,8.303370593272733e-76,75.08074557835741,2.1296069729096242e-73,Upregulated in BRCA_Basal
AURKB,2.4625521851272127,8.552889577609176e-76,75.06788713490933,2.1665208438689516e-73,Upregulated in BRCA_Basal
CACNA2D2,-3.7738379298644,9.546915179662379e-76,75.02013693594229,2.3888244592233252e-73,Upregulated in BRCA_LumA
TTC8,-1.4215770874617473,1.0929781596706535e-75,74.96138851621068,2.7018946843521048e-73,Upregulated in BRCA_LumA
RUNDC1,-1.4494303690968189,1.5324308423086217e-75,74.81461911581866,3.74314476458194e-73,Upregulated in BRCA_LumA
NDC80,2.1522570322683983,2.2593638525432573e-75,74.64601382378207,5.4538385325273594e-73,Upregulated in BRCA_Basal
IVD,-1.4939037966906594,3.1389450385736185e-75,74.50321628852205,7.488938872262035e-73,Upregulated in BRCA_LumA
CYP2B7P1,-7.043295538041048,3.637597651505896e-75,74.43918533919067,8.578876852137698e-73,Upregulated in BRCA_LumA
WFS1,-1.6187034015187756,4.863687863759606e-75,74.31303430449942,1.134013040779768e-72,Upregulated in BRCA_LumA
TPX2,2.0141096281332094,5.030196077400903e-75,74.29841508578433,1.1596580125405811e-72,Upregulated in BRCA_Basal
DNAL1,-1.372195318427611,7.221872335171352e-75,74.14135019309289,1.6464264063671757e-72,Upregulated in BRCA_LumA
FAM72B,2.212402669130301,7.40630444983017e-75,74.13039843944244,1.6699181835342356e-72,Upregulated in BRCA_Basal
SLC39A6,-3.46852929177064,7.988255015144517e-75,74.09754807926676,1.781554526094948e-72,Upregulated in BRCA_LumA
PRKX,2.1215040059452983,8.261325258033263e-75,74.08295027881954,1.8226437811217902e-72,Upregulated in BRCA_Basal
AR,-4.154399852198791,9.292457588667876e-75,74.0318694123737,2.0283260085562498e-72,Upregulated in BRCA_LumA
TMBIM4,-1.3416091259743974,9.569693423751975e-75,74.01910197512865,2.066852312300453e-72,Upregulated in BRCA_LumA
MELK,2.2866833037013885,1.0022103751509153e-74,73.99904110563718,2.1288534458934708e-72,Upregulated in BRCA_Basal
CDCA2,2.6429510044241997,1.0064274502956753e-74,73.9972175263609,2.1288534458934708e-72,Upregulated in BRCA_Basal
ORC1L,2.2758856852129914,1.0451861980795338e-74,73.98080633386384,2.188278613489375e-72,Upregulated in BRCA_Basal
SERPINA11,-6.215822766417951,1.0991890601731414e-74,73.95892760263722,2.2553161136632516e-72,Upregulated in BRCA_LumA
FBP1,-2.6760616969593904,1.0991890601731414e-74,73.95892760263722,2.2553161136632516e-72,Upregulated in BRCA_LumA
DNAJC12,-4.180229982599525,1.1854530770245217e-74,73.92611563172598,2.3846202190577583e-72,Upregulated in BRCA_LumA
UBXN10,-3.325172525464982,1.1854530770245217e-74,73.92611563172598,2.3846202190577583e-72,Upregulated in BRCA_LumA
TRIM3,-1.8869262432347798,1.2731122648702941e-74,73.89513329794578,2.5360890728746305e-72,Upregulated in BRCA_LumA
C5orf36,-2.0400205111813503,1.3110589746782751e-74,73.8823777722296,2.5865680810046973e-72,Upregulated in BRCA_LumA
HJURP,1.9761402390847655,1.3787523217796246e-74,73.8605137432116,2.694213346502318e-72,Upregulated in BRCA_Basal
NUDT12,-1.9207194701822097,1.437817566303918e-74,73.84229621476938,2.783126492964508e-72,Upregulated in BRCA_LumA
DYNLRB2,-3.533783980591281,1.468289518754769e-74,73.83318830136793,2.815548069701902e-72,Upregulated in BRCA_LumA
RAD54L,2.1423088300153426,1.5900712916805994e-74,73.79858340342207,3.020840996546531e-72,Upregulated in BRCA_Basal
INPP4B,-3.0283516498253795,1.7731986610542408e-74,73.75124260530919,3.337843130964304e-72,Upregulated in BRCA_LumA
SLC7A13,-5.257707679668304,1.8336680103775595e-74,73.73667929151902,3.4202909306297056e-72,Upregulated in BRCA_LumA
ANKRA2,-1.2860913253776896,2.2234715852471077e-74,73.65296841622595,4.110017115864879e-72,Upregulated in BRCA_LumA
SPDEF,-3.282588528611238,2.318586203953756e-74,73.63477675260171,4.24756711899314e-72,Upregulated in BRCA_LumA
FOXM1,2.5286747252802146,2.6733629990238223e-74,73.5729420671434,4.854164779997414e-72,Upregulated in BRCA_Basal
SFRS13B,3.7036656783069155,2.811096002188442e-74,73.5511243224791,5.059479629201969e-72,Upregulated in BRCA_Basal
C15orf42,2.24261766890207,2.8825929801984858e-74,73.5402166753131,5.143047197192394e-72,Upregulated in BRCA_Basal
DACH1,-4.1867923272495835,3.674360846271673e-74,73.43481819537665,6.499184124465706e-72,Upregulated in BRCA_LumA
MCM10,2.497172806191051,4.1308222999735815e-74,73.38396348713448,7.244120679560508e-72,Upregulated in BRCA_Basal
TPSG1,-7.761332435214828,5.308245388315201e-74,73.27504900888071,9.230049057411124e-72,Upregulated in BRCA_LumA
SYTL5,-5.035732053661252,5.442995142180391e-74,73.26416205328631,9.384821372038425e-72,Upregulated in BRCA_LumA
RHOB,-2.0347825260924406,7.475989600338963e-74,73.12633131142891,1.2782696218312904e-71,Upregulated in BRCA_LumA
CCNB2,1.9889391630183182,9.845946942305836e-74,73.00674250887668,1.6695796641506707e-71,Upregulated in BRCA_Basal
